id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ping
0,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.56
1,4.279,4.675,11.32,3.341,,,,,,,,,,,,,126.19
2,4.279,4.675,11.32,3.341,,,,,,,,,,,,,1.052
3,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.626
4,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.576
5,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.563
6,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.553
7,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.611
8,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.564
9,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.608
10,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.641
11,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.699
12,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.715
13,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.604
14,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.603
19,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.2
20,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.264
21,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.437
22,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.954
23,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.635
24,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.912
25,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.982
26,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.397
27,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.435
28,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.494
29,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.886
30,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.74
31,4.279,4.675,11.32,3.341,,,,,,,,,,,,,10.251
32,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.895
33,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.976
34,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.371
35,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.913
36,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.448
37,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.02
38,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.214
39,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.907
40,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.675
41,4.279,4.675,11.32,3.341,,,,,,,,,,,,,13.719
42,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.548
43,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.881
44,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.637
45,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.016
46,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.829
47,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.768
48,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.264
49,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.14
54,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.877
55,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.824
56,4.279,4.675,11.32,3.341,,,,,,,,,,,,,12.654
57,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.217
58,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.454
59,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.308
60,4.279,4.675,11.32,3.341,,,,,,,,,,,,,2.373
61,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.091
62,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.355
63,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.227
64,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.24
65,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.143
66,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.492
67,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.374
68,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.939
69,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.351
70,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.649
71,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.213
72,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.493
73,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.027
74,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.915
75,4.279,4.675,11.32,3.341,,,,,,,,,,,,,10.05
76,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.261
77,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.528
78,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.839
79,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.328
80,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.808
81,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.121
82,4.279,4.675,11.32,3.341,,,,,,,,,,,,,11.505
83,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.287
84,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.032
85,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.316
86,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.458
87,4.279,4.675,11.32,3.341,,,,,,,,,,,,,34.289
88,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.429
89,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.975
90,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.909
91,4.279,4.675,11.32,3.341,,,,,,,,,,,,,1.042
92,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.97
93,4.279,4.675,11.32,3.341,,,,,,,,,,,,,1.143
94,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.419
95,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.704
96,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.929
97,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.941
98,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.871
99,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.395
100,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.364
101,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.003
102,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.615
103,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.93
104,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.135
105,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.714
106,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.678
107,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.389
108,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.816
109,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.53
110,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.334
111,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.746
112,4.279,4.675,11.32,3.341,,,,,,,,,,,,,10.916
113,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.01
114,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.539
115,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.79
116,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.345
117,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.595
118,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.871
119,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.166
120,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.046
121,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.16
122,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.213
127,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.698
128,4.279,4.675,11.32,3.341,,,,,,,,,,,,,19.652
129,4.279,4.675,11.32,3.341,,,,,,,,,,,,,1.411
130,4.279,4.675,11.32,3.341,,,,,,,,,,,,,2.974
131,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.667
132,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.081
133,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.197
134,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.111
135,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.212
136,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.111
137,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.224
138,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.475
139,4.279,4.675,11.32,3.341,,,,,,,,,,,,,10.392
140,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.531
141,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.795
146,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.949
147,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.939
148,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.333
149,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.307
150,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.119
151,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.457
152,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.75
157,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.394
158,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.2
159,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.103
160,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.448
161,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.918
162,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.631
163,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.561
164,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.703
165,4.279,4.675,11.32,3.341,,,,,,,,,,,,,16.999
166,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.846
167,4.279,4.675,11.32,3.341,,,,,,,,,,,,,1.311
168,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.488
169,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.082
170,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.502
171,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.531
172,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.889
173,4.279,4.675,11.32,3.341,,,,,,,,,,,,,44.02
174,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.519
175,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.967
176,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.813
177,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.812
178,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.825
179,4.279,4.675,11.32,3.341,,,,,,,,,,,,,1.058
180,4.279,4.675,11.32,3.341,,,,,,,,,,,,,0.895
181,4.279,4.675,11.32,3.341,,,,,,,,,,,,,3.758
182,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.865
183,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.889
184,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.503
185,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.584
186,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.287
187,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.793
188,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.149
189,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.862
190,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.986
191,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.06
192,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.267
193,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.216
194,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.539
195,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.237
196,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.37
197,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.921
198,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.128
199,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.265
200,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.159
201,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.177
202,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.767
203,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.303
208,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.816
209,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.606
210,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.83
211,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.649
212,4.279,4.675,11.32,3.341,,,,,,,,,,,,,8.982
213,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.926
214,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.291
215,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.912
216,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.438
217,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.489
218,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.997
219,4.279,4.675,11.32,3.341,,,,,,,,,,,,,11.782
220,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.169
221,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.097
222,4.279,4.675,11.32,3.341,,,,,,,,,,,,,5.458
223,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.819
224,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.606
225,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.017
226,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.821
227,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.345
228,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.383
229,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.855
230,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.415
231,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.006
232,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.876
233,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.636
234,4.279,4.675,11.32,3.341,,,,,,,,,,,,,9.053
235,4.279,4.675,11.32,3.341,,,,,,,,,,,,,4.772
236,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.428
237,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.153
238,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.2
239,4.279,4.675,11.32,3.341,,,,,,,,,,,,,6.798
240,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.257
241,4.279,4.675,11.32,3.341,,,,,,,,,,,,,7.152
