id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ping
20452,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,6.569
20453,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,9.189
20454,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,7.178
20455,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,12.866
20456,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,7.062
20457,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,10.442
20458,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,7.726
20459,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,0.017
20460,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,5.719
20461,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,7.723
20462,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,5.869
20463,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,6.173
20464,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,12.24
20465,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,4.281,4.642,11.32,3.32,1.889
20466,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,8.927
20467,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,12.847
20468,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,16.562
20469,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,0.029
20470,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,5.723
20471,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,4.281,4.642,11.32,3.321,0.028
