id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ping
111,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.95
112,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.784
113,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.349
114,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.045
115,4.28,4.675,11.32,3.339,,,,,,,,,,,,,23.913
117,4.28,4.676,11.32,3.339,,,,,,,,,,,,,17.9
118,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.717
119,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.564
120,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.55
121,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.803
125,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.791
126,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.269
127,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.781
128,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.253
129,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.181
130,4.28,4.675,11.32,3.339,,,,,,,,,,,,,22.914
131,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.805
132,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.974
134,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.495
135,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.513
136,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.042
137,4.28,4.675,11.32,3.339,,,,,,,,,,,,,48.533
138,4.28,4.675,11.32,3.339,,,,,,,,,,,,,4.025
139,4.28,4.675,11.32,3.339,,,,,,,,,,,,,7.623
141,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.673
142,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.535
143,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.813
144,4.28,4.676,11.32,3.339,,,,,,,,,,,,,31.893
145,4.28,4.675,11.32,3.339,,,,,,,,,,,,,7.125
146,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.755
147,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.815
148,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.847
149,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.778
150,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.404
151,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.73
152,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.016
153,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.206
154,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.092
155,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.817
156,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.096
157,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.841
158,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.483
159,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.456
160,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.491
161,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.288
162,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.382
164,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.127
165,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.04
166,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.823
168,4.28,4.675,11.32,3.339,,,,,,,,,,,,,23.031
169,4.28,4.675,11.32,3.339,,,,,,,,,,,,,17.311
170,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.785
171,4.28,4.676,11.32,3.339,,,,,,,,,,,,,24.069
172,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.764
173,4.28,4.675,11.32,3.339,,,,,,,,,,,,,16.98
178,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.99
179,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.339
180,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.313
181,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.196
183,4.28,4.676,11.32,3.339,,,,,,,,,,,,,23.308
184,4.28,4.675,11.32,3.339,,,,,,,,,,,,,16.98
185,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.573
186,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.16
187,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.171
188,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.892
189,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.962
191,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.839
192,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.943
193,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.249
198,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.952
199,4.28,4.675,11.32,3.339,,,,,,,,,,,,,30.665
200,4.28,4.675,11.32,3.339,,,,,,,,,,,,,10.029
201,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.229
202,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.185
203,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.986
204,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.158
205,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.919
206,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.773
207,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.01
208,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.799
209,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.969
210,4.28,4.676,11.32,3.339,,,,,,,,,,,,,32.37
211,4.28,4.676,11.32,3.339,,,,,,,,,,,,,33.852
212,4.28,4.676,11.32,3.339,,,,,,,,,,,,,4.799
213,4.28,4.676,11.32,3.339,,,,,,,,,,,,,8.49
216,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.948
217,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.957
218,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.252
219,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.848
220,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.99
221,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.04
222,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.015
223,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.486
224,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.42
225,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.987
226,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.484
227,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.702
228,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.983
229,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.942
230,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.47
231,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.809
232,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.016
233,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.797
234,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.851
235,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.667
236,4.28,4.676,11.32,3.339,,,,,,,,,,,,,17.468
237,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.931
238,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.407
239,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.317
241,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.136
242,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.768
244,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.667
245,4.28,4.675,11.32,3.339,,,,,,,,,,,,,35.41
246,4.28,4.675,11.32,3.339,,,,,,,,,,,,,7.405
247,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.806
248,4.28,4.676,11.32,3.339,,,,,,,,,,,,,17.816
249,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.979
250,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.241
251,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.072
252,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.361
253,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.606
254,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.84
255,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.253
256,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.695
260,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.818
261,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.251
262,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.916
263,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.725
264,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.747
265,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.462
266,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.988
267,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.944
268,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.996
269,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.347
270,4.28,4.675,11.32,3.339,,,,,,,,,,,,,22.711
271,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.961
272,4.28,4.675,11.32,3.339,,,,,,,,,,,,,22.913
273,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.681
274,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.614
275,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.925
